departamento,grupo_inei,pobreza_pct,pobreza_inf,pobreza_sup
AMAZONAS,3,20.85,19.4,22.3
ANCASH,3,20.85,19.4,22.3
APURIMAC,3,20.85,19.4,22.3
AREQUIPA,4,13.6,11.9,15.3
AYACUCHO,1,37.75,35.7,39.8
CAJAMARCA,1,37.75,35.7,39.8
CALLAO,2,27.2,25.4,29.0
CUSCO,3,20.85,19.4,22.3
HUANCAVELICA,1,37.75,35.7,39.8
HUANUCO,1,37.75,35.7,39.8
ICA,5,5.4,4.0,6.8
JUNIN,4,13.6,11.9,15.3
LA LIBERTAD,2,27.2,25.4,29.0
LAMBAYEQUE,4,13.6,11.9,15.3
LIMA,2,27.2,25.4,29.0
LORETO,1,37.75,35.7,39.8
MADRE DE DIOS,5,5.4,4.0,6.8
MOQUEGUA,5,5.4,4.0,6.8
PASCO,1,37.75,35.7,39.8
PIURA,2,27.2,25.4,29.0
PUNO,1,37.75,35.7,39.8
SAN MARTIN,3,20.85,19.4,22.3
TACNA,3,20.85,19.4,22.3
TUMBES,2,27.2,25.4,29.0
UCAYALI,3,20.85,19.4,22.3
